images,masks
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i12.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m12.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i13.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m13.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i14.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m14.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i15.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m15.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i16.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m16.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i17.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m17.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i18.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m18.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i19.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m19.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i2.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m2.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i20.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m20.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i21.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m21.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i22.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m22.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i23.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m23.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i24.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m24.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i25.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m25.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i26.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m26.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i27.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m27.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i28.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m28.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i29.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m29.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i3.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m3.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i30.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m30.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i31.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m31.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i32.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m32.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i33.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m33.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i34.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m34.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i35.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m35.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i36.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m36.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i37.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m37.tif
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i38.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m38.tif
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m39.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i4.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m4.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i40.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m40.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i41.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m41.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i42.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m42.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m43.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i44.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m44.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i45.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m45.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i46.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m46.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i47.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m47.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i48.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m48.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i49.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m49.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i5.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m5.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i50.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m50.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i51.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m51.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i52.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m52.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i53.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m53.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i54.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m54.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i55.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m55.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i56.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m56.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i57.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m57.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i58.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m58.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i59.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m59.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i6.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m6.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i60.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m60.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i61.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m61.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i62.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m62.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i63.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m63.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i64.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m64.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i65.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m65.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i66.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m66.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i67.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m67.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i68.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m68.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i69.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m69.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i7.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m7.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i70.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m70.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i71.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m71.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i72.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m72.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i73.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m73.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i74.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m74.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i75.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m75.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i76.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m76.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i77.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m77.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i78.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m78.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i79.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m79.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i8.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m8.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i80.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m80.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i81.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m81.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i82.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m82.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i83.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m83.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i84.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m84.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i85.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m85.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i86.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m86.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i87.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m87.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i88.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m88.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i89.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m89.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i9.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m9.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i90.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m90.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i91.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m91.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i92.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m92.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i93.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m93.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i94.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m94.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i95.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m95.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i96.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m96.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i97.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m97.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i98.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m98.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i99.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m99.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i2.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i2.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i2.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i2.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m13.png,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i13.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i57.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i73.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i41.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\111.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i42.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i56.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i56.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i56.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\Screenshot_4.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i46.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i46.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i53.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i38.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i43.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i3.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i6.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i40.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i37.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\imagenes\i39.tif,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\mama seleccion\LJ FLV A6 24 hrs 10x 1.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\1.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\2.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\2.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\2.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\1.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\1.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\1.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
C:\Users\cristina\Desktop\grafica result\3.jpg,C:\Users\cristina\Desktop\proyectoo\Machinelearning\img-masc\mascaras\m1.png
